"q21","How many total prescription medications are you currently taking? (Please insert number)","n =  98  avg =  7.74"
"response","count","percent_responded"
"4","12","12.24"
"6","11","11.22"
"5","9","9.18"
"7","8","8.16"
"10","7","7.14"
"3","7","7.14"
"1","6","6.12"
"8","5","5.1"
"9","5","5.1"
"0","4","4.08"
"11","3","3.06"
"12","3","3.06"
"14","3","3.06"
"15","3","3.06"
"2","3","3.06"
"13","2","2.04"
"21","2","2.04"
"16","1","1.02"
"17","1","1.02"
"19","1","1.02"
"30","1","1.02"
"50","1","1.02"
