"q5","What is the primary health condition for which you find cannabis to be helpful or most impactful? Please select one.","n =  558"
"response","count","percent_responded"
"Chronic pain","235","42.11"
"Anxiety","73","13.08"
"Other (please specify)","64","11.47"
"Insomnia","44","7.89"
"Depression/mood","39","6.99"
"Arthritis","32","5.73"
"Post-Traumatic Stress Disorder (PTSD)","31","5.56"
"Not using cannabis for a health condition","14","2.51"
"Inflammatory Bowel Disease (IBD)","9","1.61"
"Multiple Sclerosis","8","1.43"
"Nausea/vomiting","4","0.72"
"Attention Deficit/Hyperactivity Disorder (ADHD)","2","0.36"
"End of life care","1","0.18"
"Epilipsey","1","0.18"
"HIV/AIDS","1","0.18"
