"q30","What are some barriers for you consuming cannabis? Please select all that apply.","n =  142"
"response","count","percent_responded"
"Money","81","57.04"
"Place to consume cannabis","40","28.17"
"Access to the right products","36","25.35"
"No barriers","32","22.54"
"Stigma","28","19.72"
"Workplace testing or other policies","27","19.01"
"Time required to get medical card or obtain products","16","11.27"
"Lack of knowledge","11","7.75"
"Previous bad experience","3","2.11"
"Other (please specify)","1","0.7"
