"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  32"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","12","37.5"
"Statins (e.g. Lipitor, Crestor)","9","28.12"
"Anti-inflammatories","8","25"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","8","25"
"I don’t take any prescription medications","8","25"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","8","25"
"Other (please specify)","6","18.75"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","5","15.62"
"Beta Blockers","5","15.62"
"Muscle relaxants","5","15.62"
"Barbiturates (e.g. Floricet)","4","12.5"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","3","9.38"
"Proton pump inhibitors","3","9.38"
"Steroids, including steroid creams","3","9.38"
"Hormone replacement therapy (HRT)","2","6.25"
"Antihypertensives","1","3.12"
"Antimigraine","1","3.12"
"Antipsychotics (e.g. Abilify, Seroquel)","1","3.12"
"Insulin","1","3.12"
"Sedatives/hypnotics","1","3.12"
