"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  144"
"response","count","percent_responded"
"Posttraumatic stress disorder (PTSD)","139","96.53"
"Anxiety","113","78.47"
"Depression","111","77.08"
"Chronic pain","88","61.11"
"Insomnia","71","49.31"
"Arthritis","33","22.92"
"Hypertension","19","13.19"
"Gastrointestinal/digestive system disorders","17","11.81"
"Substance abuse/addiction","17","11.81"
"Other (please specify)","14","9.72"
"Attention deficit/hyperactivity disorder (ADHD)","13","9.03"
"Inflammatory bowel disease (IBD)","10","6.94"
"Bipolar/manic depression","8","5.56"
"Cancer","7","4.86"
"Respiratory problems","5","3.47"
"Allergies","4","2.78"
"Fibromyalgia/myositis","4","2.78"
"Reflux esophagitis","4","2.78"
"Diabetes","3","2.08"
"Eczema","3","2.08"
"Obesity","3","2.08"
"Cardiovascular disease","2","1.39"
"HIV/AIDS","2","1.39"
"Alzheimer's","1","0.69"
"Autism","1","0.69"
"Epilepsy","1","0.69"
