"q51","What type of cannabis advertising have you been exposed to in the past 30 days? Please check all that apply.","n =  913"
"response","count","percent_responded"
"Digitally on a cell phone, tablet, or computer (through email, text messages, websites, or social media)","374","40.96"
"Have not seen advertising","327","35.82"
"In magizines or newspapers","181","19.82"
"On billboards","119","13.03"
"At an event, like a concert, fair, rodeo, parade, or similar","87","9.53"
"In pamphlets or flyers","87","9.53"
"On storefronts","80","8.76"
"On the radio","71","7.78"
"On television","66","7.23"
"Other (please specify)","39","4.27"
"On street side marketing, like sandwich boards","35","3.83"
"Other (please specify below)","22","2.41"
"On signs being held by people on sidewalks (sign wavers)","7","0.77"
