"chosen","count","percent_all","percent_responded"
"Anti-inflammatories",39,0.109243697478992,0.284671532846715
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)",53,0.148459383753501,0.386861313868613
"Antiemetics",1,0.00280112044817927,0.0072992700729927
"Antihypertensives",7,0.0196078431372549,0.0510948905109489
"Antimigraine",5,0.0140056022408964,0.0364963503649635
"Antipsychotics (e.g. Abilify, Seroquel)",7,0.0196078431372549,0.0510948905109489
"Barbiturates (e.g. Floricet)",4,0.0112044817927171,0.0291970802919708
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)",27,0.0756302521008403,0.197080291970803
"Beta Blockers",7,0.0196078431372549,0.0510948905109489
"Hormone replacement therapy (HRT)",1,0.00280112044817927,0.0072992700729927
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)",27,0.0756302521008403,0.197080291970803
"Muscle relaxants",32,0.0896358543417367,0.233576642335766
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)",36,0.100840336134454,0.262773722627737
"Other (please specify)",7,0.0196078431372549,0.0510948905109489
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)",65,0.182072829131653,0.474452554744526
"Proton pump inhibitors",5,0.0140056022408964,0.0364963503649635
"Sedatives/hypnotics",10,0.0280112044817927,0.072992700729927
"Statins (e.g. Lipitor, Crestor)",11,0.030812324929972,0.0802919708029197
"Steroids, including steroid creams",6,0.0168067226890756,0.0437956204379562
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)",7,0.0196078431372549,0.0510948905109489
