"q57","What product(s) and/or strain(s) do you want that are not currently available in your local dispensaries?","n =  333"
"response","count","percent_responded"
"N/A","20","6.01"
"None","19","5.71"
"none","10","3"
"Na","8","2.4"
"Not sure","8","2.4"
"All","7","2.1"
"n/a","7","2.1"
"?","6","1.8"
NA,"6","1.8"
"N/a","4","1.2"
"Unknown","4","1.2"
"0","3","0.9"
"Na ","3","0.9"
"None ","3","0.9"
"All of them ","2","0.6"
"Don't know","2","0.6"
"Edibles","2","0.6"
"Edibles ","2","0.6"
"Flower","2","0.6"
"I don't know","2","0.6"
"Idk","2","0.6"
"Jack Herer ","2","0.6"
"Lemon Skunk","2","0.6"
"na","2","0.6"
"No answer","2","0.6"
"Sativa","2","0.6"
"White Rino","2","0.6"
" not sure","1","0.3"
"?The one they DONT have!!","1","0.3"
"1 gram vape cartridges ","1","0.3"
"1:1 strains clones and seeds for vets","1","0.3"
"A 10%/10% blend of THC/CBD tested by chemists and recommended by a real doctor.","1","0.3"
"AC DC","1","0.3"
"AC/dc","1","0.3"
"Ac/dc, cannatonic","1","0.3"
"ACDC","1","0.3"
"affordable products","1","0.3"
"African Black ","1","0.3"
"all","1","0.3"
"ALL","1","0.3"
"All of them... I no longer can afford to buy any :/","1","0.3"
"All Strains (flower not legal in NY)","1","0.3"
"All.  The state of Florida is a for profit  state instead of patient care ","1","0.3"
"All.... I don't have a local dispensary","1","0.3"
"Alot","1","0.3"
"Anxiety, depression, headache and pain relief ","1","0.3"
"Any","1","0.3"
"ANY","1","0.3"
"Any ","1","0.3"
"Avidekal","1","0.3"
"Banana kush","1","0.3"
"banana kush flower","1","0.3"
"Better flower","1","0.3"
"better prices like Maine","1","0.3"
"BioChem","1","0.3"
"black cherry soda","1","0.3"
"Blackberry Kush","1","0.3"
"Blue Cookies ","1","0.3"
"Blue dream","1","0.3"
"blue sunshine","1","0.3"
"Blueberry ","1","0.3"
"Blueberry stavia","1","0.3"
"Can't use them to costly","1","0.3"
"Candy Kush","1","0.3"
"Cannabutter","1","0.3"
"Cannagars","1","0.3"
"cartriges","1","0.3"
"Cataract Kush, Night Terror OG ","1","0.3"
"cbd","1","0.3"
"Cbd","1","0.3"
"CBD strains","1","0.3"
"CBD:THC of 4:1","1","0.3"
"Chocolate candy bars ","1","0.3"
"CHRONIC","1","0.3"
"Clean organic cannabis","1","0.3"
"Combat cookies","1","0.3"
"Concentrates","1","0.3"
"Consistent strains ","1","0.3"
"Critical Kush","1","0.3"
"CT dispensaries and overall program needs reform.","1","0.3"
"Devil’s Cookies","1","0.3"
"diamonds","1","0.3"
"Dips and pouches, hemp derived CBD, seeds, diamonds (concentrate), Bloody skunk (Flower strain), full melt, Bubble hash, hash rosin","1","0.3"
"do not use dispensaries.","1","0.3"
"don't know","1","0.3"
"Don’t know","1","0.3"
"Don’t know ","1","0.3"
"dont have dispenseries","1","0.3"
"Dont know","1","0.3"
"dr grinspoon","1","0.3"
"drinks","1","0.3"
"Drinks","1","0.3"
"Dude, where's my bike?","1","0.3"
"Durban Poison flower","1","0.3"
"Durbon Poison; lemon marange,!Lemon haze","1","0.3"
"edibles","1","0.3"
"Everything.  No longer live near dispensaries.","1","0.3"
"FECO/ RSO","1","0.3"
"Flower and edibles","1","0.3"
"Food edibles","1","0.3"
"FrankenPuna ","1","0.3"
"Garlic bud","1","0.3"
"Garrila glue","1","0.3"
"Gelato, Katsu Kush.  More pure indica strains, less hybrids.","1","0.3"
"gg","1","0.3"
"Ghost train Haze ","1","0.3"
"glass bangers and proper dab rigs. ","1","0.3"
"got no local dispensery","1","0.3"
"Grandpa Larry","1","0.3"
"Greater mixes of CBG:THC ratios","1","0.3"
"Green Crack","1","0.3"
"Grow my own and edibles","1","0.3"
"gsc","1","0.3"
"Harlequin ","1","0.3"
"Harleyquinn","1","0.3"
"Hash","1","0.3"
