"q6","Which is the primary health condition that causes you the most distress? (Please select one)","n =  391"
"response","count","percent_responded"
"Chronic pain","161","41.18"
"Posttraumatic stress disorder (PTSD)","97","24.81"
"Anxiety","31","7.93"
"Depression","20","5.12"
"Insomnia","13","3.32"
"Cancer","12","3.07"
"Arthritis","10","2.56"
"Cardiovascular disease","7","1.79"
"Fibromyalgia/myositis","6","1.53"
"Bipolar/manic depression","5","1.28"
"Diabetes","5","1.28"
"Multiple sclerosis","4","1.02"
"Respiratory problems","4","1.02"
"Hypertension","3","0.77"
"Attention deficit/hyperactivity disorder (ADHD)","2","0.51"
"Gastrointestinal/digestive system disorders","2","0.51"
"Inflammatory bowel disease (IBD)","2","0.51"
"Obesity","2","0.51"
"Reflux esophagitis","2","0.51"
"Allergies","1","0.26"
"HIV/AIDS","1","0.26"
"Substance abuse/addiction","1","0.26"
