"q61","What is the highest degree or level of school you have completed? If you are currently enrolled in school, please indicate the highest degree you have recieved.","n =  269"
"response","count","percent_responded"
"Bachelors degree","89","33.09"
"Some college, no degree","59","21.93"
"Associate degree","36","13.38"
"Masters degree","32","11.9"
"High school degree or equivalent (GED)","30","11.15"
"Prefer not to answer","10","3.72"
"Professional degree (MD, JD, DDS, DVM)","6","2.23"
"Less than high school diploma","5","1.86"
"Doctorate (Ph.D., EdD, etc)","2","0.74"
