"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  333  avg =  18.511"
"response","count","percent_responded"
"0","112","33.63"
"1","16","4.8"
"2","11","3.3"
"50","10","3"
"6","10","3"
"16","7","2.1"
"4","7","2.1"
"100","6","1.8"
"13","6","1.8"
"19","6","1.8"
"3","6","1.8"
"7","6","1.8"
"10","5","1.5"
"11","5","1.5"
"17","5","1.5"
"26","5","1.5"
"30","5","1.5"
"33","5","1.5"
"8","5","1.5"
"14","4","1.2"
"23","4","1.2"
"24","4","1.2"
"27","4","1.2"
"39","4","1.2"
"9","4","1.2"
"21","3","0.9"
"25","3","0.9"
"38","3","0.9"
"48","3","0.9"
"49","3","0.9"
"76","3","0.9"
"15","2","0.6"
"18","2","0.6"
"20","2","0.6"
"28","2","0.6"
"29","2","0.6"
"32","2","0.6"
"34","2","0.6"
"35","2","0.6"
"41","2","0.6"
"44","2","0.6"
"5","2","0.6"
"51","2","0.6"
"52","2","0.6"
"70","2","0.6"
"99","2","0.6"
"12","1","0.3"
"22","1","0.3"
"36","1","0.3"
"40","1","0.3"
"43","1","0.3"
"45","1","0.3"
"46","1","0.3"
"47","1","0.3"
"53","1","0.3"
"57","1","0.3"
"61","1","0.3"
"64","1","0.3"
"66","1","0.3"
"71","1","0.3"
"78","1","0.3"
"80","1","0.3"
"81","1","0.3"
"82","1","0.3"
"83","1","0.3"
"85","1","0.3"
"91","1","0.3"
"97","1","0.3"
"98","1","0.3"
