"q10","Are you actively trying to reduce your prescription medication intake using cannabis? Please select all that apply.","n =  723"
"response","count","percent_responded"
"Not actively trying to reduce medication Intake","320","44.26"
"Antidepressants","178","24.62"
"NSAID/non-opioid analgesics","121","16.74"
"Narcotics/opioids","117","16.18"
"Anxiolytics/Benzodiazepines","111","15.35"
"Muscle relaxants","103","14.25"
"Other (please specify)","72","9.96"
"Other (please specify below)","67","9.27"
"Sedatives/hypnotics","54","7.47"
"Antimigraine","46","6.36"
"Antipsychotics","29","4.01"
"Anti-convulsants","18","2.49"
"Proton pump inhibitors","14","1.94"
