"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  56"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","32","57.14"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","23","41.07"
"Anti-inflammatories","22","39.29"
"Statins (e.g. Lipitor, Crestor)","20","35.71"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","16","28.57"
"Muscle relaxants","12","21.43"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","10","17.86"
"Antihypertensives","9","16.07"
"Other (please specify)","9","16.07"
"Steroids, including steroid creams","8","14.29"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","7","12.5"
"Antimigraine","6","10.71"
"I don’t take any prescription medications","6","10.71"
"Antipsychotics (e.g. Abilify, Seroquel)","5","8.93"
"Proton pump inhibitors","5","8.93"
"Insulin","4","7.14"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","3","5.36"
"Antiemetics","2","3.57"
"Beta Blockers","2","3.57"
"Sedatives/hypnotics","2","3.57"
"Barbiturates (e.g. Floricet)","1","1.79"
