"q79","Were you exposed to any of the following during your service? (Please select all that apply)","n =  289"
"response","count","percent_responded"
"Burn Pits","112","38.75"
"I was not exposed to any of these","81","28.03"
"Asbestos","65","22.49"
"Specific Environmental Hazards","55","19.03"
"Radiation Exposure","32","11.07"
"Agent Orange","31","10.73"
"Gulf war illness","28","9.69"
"contaminated drinking water at camp Lejelune","25","8.65"
"Other (please specify)","23","7.96"
"Gulf war illness in Afghanistan","10","3.46"
"Contact with mustard gas or lewisite","7","2.42"
"Children having birth defects like Spina Bifida","4","1.38"
