"q11","How do you prefer to use cannabis? Please select all that apply.","n =  170"
"response","count","percent_responded"
"Smoke flower","123","72.35"
"Vape cartridges","109","64.12"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","105","61.76"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","79","46.47"
"Vape flower","68","40"
"Tinctures","64","37.65"
"Salves/topicals","47","27.65"
"Capsules","33","19.41"
"Transdermal patches","13","7.65"
"Suppositories","6","3.53"
"Other (please specify)","5","2.94"
