"q79","Were you exposed to any of the following during your service? (Please select all that apply)","n =  83"
"response","count","percent_responded"
"Asbestos","30","36.14"
"Burn Pits","28","33.73"
"I was not exposed to any of these","20","24.1"
"Specific Environmental Hazards","18","21.69"
"Agent Orange","13","15.66"
"Gulf war illness","11","13.25"
"Radiation Exposure","10","12.05"
"contaminated drinking water at camp Lejelune","8","9.64"
"Other (please specify)","8","9.64"
"Gulf war illness in Afghanistan","5","6.02"
"Contact with mustard gas or lewisite","2","2.41"
