"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  87"
"response","count","percent_responded"
"Dry mouth","54","62.07"
"More or less talkative","36","41.38"
"Increased energy","28","32.18"
"Changes in appetite","26","29.89"
"Sleepiness/fatigue","23","26.44"
"Changes in libido","13","14.94"
"Other (please specify)","13","14.94"
"Feeling of being ""altered""","12","13.79"
"Memory problems","9","10.34"
"Difficulty concentrating","7","8.05"
"Racing thoughts","6","6.9"
"Apathy","4","4.6"
"Paranoia","4","4.6"
"Heart racing/palpitations","3","3.45"
"Sweating","3","3.45"
"Depression","2","2.3"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","2","2.3"
"Nausea","2","2.3"
"Tough to get started in the morning (lassitude) or ""couch lock""","2","2.3"
"Anxiety","1","1.15"
"Dizziness","1","1.15"
"Headache","1","1.15"
