"q61","What is the highest degree or level of school you have completed? If you are currently enrolled in school, please indicate the highest degree you have recieved.","n =  558"
"response","count","percent_responded"
"Some college, no degree","134","24.01"
"Bachelors degree","124","22.22"
"Masters degree","101","18.1"
"Associate degree","73","13.08"
"High school degree or equivalent (GED)","60","10.75"
"Professional degree (MD, JD, DDS, DVM)","26","4.66"
"Prefer not to answer","18","3.23"
"Doctorate (Ph.D., EdD, etc)","14","2.51"
"Less than high school diploma","8","1.43"
