"q14","What are the effects of your pain? (Please select all that apply)","n =  68"
"response","count","percent_responded"
"Enjoyment of life","62","91.18"
"Physical activity","61","89.71"
"Depression","57","83.82"
"Energy level","57","83.82"
"Mood","54","79.41"
"Sleep","50","73.53"
"Household chores","49","72.06"
"Relationships with others","49","72.06"
"Mobility","47","69.12"
"Anxiety","44","64.71"
"Sexual functioning","44","64.71"
"Concentration","38","55.88"
"Self esteem","38","55.88"
"Memory","26","38.24"
"Personal care","25","36.76"
"Appetite","17","25"
