"q14","What are the effects of your pain? (Please select all that apply)","n =  34"
"response","count","percent_responded"
"Physical activity","31","91.18"
"Enjoyment of life","29","85.29"
"Energy level","27","79.41"
"Mobility","26","76.47"
"Sleep","26","76.47"
"Household chores","24","70.59"
"Mood","23","67.65"
"Depression","21","61.76"
"Concentration","19","55.88"
"Anxiety","16","47.06"
"Memory","16","47.06"
"Relationships with others","16","47.06"
"Self esteem","16","47.06"
"Sexual functioning","16","47.06"
"Personal care","10","29.41"
"Appetite","8","23.53"
