"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  266"
"response","count","percent_responded"
"Smoke flower","203","76.32"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","185","69.55"
"Vape cartridges","139","52.26"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","118","44.36"
"Tinctures","90","33.83"
"Vape flower","82","30.83"
"Salves/topicals","69","25.94"
"Capsules","49","18.42"
"Transdermal patches","26","9.77"
"Other (please specify)","11","4.14"
"Suppositories","11","4.14"
