"q7","Which of the following symptoms are most commonly associated with your primary health condition or underlying health conditions? (Please select all that apply)","n =  185"
"response","count","percent_responded"
"Depression/mood","151","81.62"
"Sleep/insomnia","124","67.03"
"Anxiety/panic attacks","122","65.95"
"Pain","121","65.41"
"Attention/concentration","82","44.32"
"Appetite/weight","72","38.92"
"Aggression","67","36.22"
"Headache","62","33.51"
"Inflammation","54","29.19"
"Spasms","42","22.7"
"Nausea/vomiting","26","14.05"
"Skin conditions","17","9.19"
"Ocular pressure","10","5.41"
"Respiratory","10","5.41"
"Mania/psychosis","8","4.32"
"Other (please specify)","7","3.78"
"Drug withdrawal","4","2.16"
"Seizures","3","1.62"
