"q54","What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?","n =  126  avg =  64.452"
"response","count","percent_responded"
"100","57","45.24"
"0","21","16.67"
"50","5","3.97"
"75","4","3.17"
"98","4","3.17"
"10","3","2.38"
"5","3","2.38"
"80","3","2.38"
"96","3","2.38"
"1","2","1.59"
"15","2","1.59"
"30","2","1.59"
"95","2","1.59"
"99","2","1.59"
"13","1","0.79"
"14","1","0.79"
"17","1","0.79"
"19","1","0.79"
"2","1","0.79"
"20","1","0.79"
"3","1","0.79"
"32","1","0.79"
"52","1","0.79"
"73","1","0.79"
"82","1","0.79"
"9","1","0.79"
"90","1","0.79"
