"q12","What is your top preferred method (that is, favorite) of using cannabis? (Please select one)","n =  825"
"response","count","percent_responded"
"Smoke flower","385","46.67"
"Vape cartridges","144","17.45"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","91","11.03"
"Vape flower","64","7.76"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","59","7.15"
"Tinctures","57","6.91"
"Other (please specify)","7","0.85"
"Salves/topicals","7","0.85"
"Capsules","6","0.73"
"Suppositories","3","0.36"
"Response","1","0.12"
"Transdermal patches","1","0.12"
