"q15","Prior to COVID-19, what percent of your monthly cannabis purchases are through 
regulated sources? (Dispensaries, caregivers, etc.)","n =  187  avg =  74.706"
"response","count","percent_responded"
"100","103","55.08"
"0","15","8.02"
"50","10","5.35"
"30","6","3.21"
"75","6","3.21"
"10","4","2.14"
"5","4","2.14"
"25","3","1.6"
"70","3","1.6"
"80","3","1.6"
"90","3","1.6"
"98","3","1.6"
"1","2","1.07"
"95","2","1.07"
"97","2","1.07"
"99","2","1.07"
"14","1","0.53"
"2","1","0.53"
"20","1","0.53"
"31","1","0.53"
"34","1","0.53"
"41","1","0.53"
"42","1","0.53"
"44","1","0.53"
"48","1","0.53"
"55","1","0.53"
"60","1","0.53"
"69","1","0.53"
"78","1","0.53"
"85","1","0.53"
"88","1","0.53"
"96","1","0.53"
