"q6","What symptoms for the primary condition do you use cannabis to treat? Please select all that apply.","n =  224"
"response","count","percent_responded"
"Pain","199","88.84"
"Sleep","165","73.66"
"Anxiety","142","63.39"
"Inflammation","117","52.23"
"Depression","109","48.66"
"Spasms","83","37.05"
"Headache","72","32.14"
"Nausea","67","29.91"
"Appetite/weight","43","19.2"
"Aggression","39","17.41"
"Attention/concentration","31","13.84"
"Drug withdrawl","24","10.71"
"Other (please specify)","17","7.59"
"Skin conditions","9","4.02"
"Ocular pressure","7","3.12"
"Seizures","7","3.12"
"Mainia/psychosis","5","2.23"
"Respiratory","3","1.34"
