"q30","What are some barriers for you consuming cannabis? Please select all that apply.","n =  723"
"response","count","percent_responded"
"Money","424","58.64"
"Access to the right products","232","32.09"
"Stigma","218","30.15"
"Place to consume cannabis","212","29.32"
"Workplace testing or other policies","183","25.31"
"No barriers","117","16.18"
"Time required to get medical card or obtain products","110","15.21"
"Lack of knowledge","65","8.99"
"Other (please specify)","35","4.84"
"Previous bad experience","26","3.6"
