"q11","How do you prefer to use cannabis? Please select all that apply.","n =  142"
"response","count","percent_responded"
"Smoke flower","115","80.99"
"Vape cartridges","95","66.9"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","80","56.34"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","51","35.92"
"Vape flower","50","35.21"
"Tinctures","44","30.99"
"Salves/topicals","27","19.01"
"Capsules","13","9.15"
"Transdermal patches","7","4.93"
"Other (please specify)","1","0.7"
"Suppositories","1","0.7"
