"q7","How does cannabis help your daily life? (Please select all that apply)","n =  78"
"response","count","percent_responded"
"Helps with psychological symptoms (e.g. anxiety, stress, calm, sadness, energy)","54","69.23"
"Generally helps with quality of life","53","67.95"
"Helps with physical symptoms (e.g. body pains, function, sensation)","45","57.69"
"Helps to reduce use of other prior medicines (non-opiates)","20","25.64"
"Helps to reduce use of alcohol","18","23.08"
"Helps to avoid starting other medicines (including opiates)","15","19.23"
"Helps to reduce us of tobacco","5","6.41"
"Helps to reduce use of opiates","5","6.41"
"Other (please specify)","4","5.13"
"Does not help my daily life","3","3.85"
