"id","response"
11062634752,"100"
11027692007,"9"
10923325388,"100"
10893948558,"0"
10889700541,"90"
10888170961,"98"
10885759801,"100"
10884768912,"100"
10883497633,"100"
10882385979,"98"
10880715177,"1"
10879062209,"100"
10878751296,"100"
10878422887,"100"
10878214093,"100"
10877788133,"100"
10877606410,"4"
10877565497,"100"
10877416704,"50"
10877375002,"100"
10877194985,"100"
10876876072,"0"
10876604101,"100"
10876510380,"10"
10876485783,"100"
10876392009,"1"
10876336346,"100"
10876100377,"0"
10876001530,"95"
10875993925,"100"
10875944995,"100"
10875700450,"100"
10875696093,"4"
10875617011,"99"
10875562577,"99"
10875530570,"0"
10875529110,"50"
10875526461,"10"
10875511603,"97"
10875507777,"0"
10875503972,"100"
10875479466,"0"
10875473988,"3"
10875467061,"100"
10875462742,"75"
10875460020,"100"
10875458883,"100"
10874749577,"100"
10867812743,"0"
10867810520,"0"
10867615622,"100"
10860535252,"15"
10859949104,"100"
10858082192,"50"
10856437127,"100"
10855896441,"99"
