"q30","What are some barriers for you consuming cannabis? Please select all that apply.","n =  224"
"response","count","percent_responded"
"Money","134","59.82"
"Access to the right products","84","37.5"
"Place to consume cannabis","63","28.12"
"Stigma","61","27.23"
"Workplace testing or other policies","54","24.11"
"No barriers","39","17.41"
"Time required to get medical card or obtain products","26","11.61"
"Lack of knowledge","24","10.71"
"Other (please specify)","20","8.93"
"Previous bad experience","9","4.02"
