"q54","What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?","n =  85  avg =  67.976"
"response","count","percent_responded"
"100","40","47.06"
"0","14","16.47"
"75","6","7.06"
"99","4","4.71"
"14","2","2.35"
"5","2","2.35"
"9","2","2.35"
"98","2","2.35"
"1","1","1.18"
"17","1","1.18"
"19","1","1.18"
"4","1","1.18"
"50","1","1.18"
"52","1","1.18"
"7","1","1.18"
"80","1","1.18"
"85","1","1.18"
"86","1","1.18"
"90","1","1.18"
"93","1","1.18"
"96","1","1.18"
