"q30","What are some barriers for you consuming cannabis? Please select all that apply.","n =  825"
"response","count","percent_responded"
"Money","482","58.42"
"Access to the right products","216","26.18"
"Stigma","213","25.82"
"Place to consume cannabis","201","24.36"
"No barriers","176","21.33"
"Workplace testing or other policies","163","19.76"
"Time required to get medical card or obtain products","84","10.18"
"Lack of knowledge","77","9.33"
"Other (please specify)","43","5.21"
"Previous bad experience","23","2.79"
