"q12","What is your top preferred method (that is, favorite) of using cannabis? (Please select one)","n =  142"
"response","count","percent_responded"
"Smoke flower","79","55.63"
"Vape cartridges","36","25.35"
"Vape flower","13","9.15"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","5","3.52"
"Tinctures","4","2.82"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","2","1.41"
"Capsules","1","0.7"
"Other (please specify)","1","0.7"
"Salves/topicals","1","0.7"
