"q51","What type of cannabis advertising have you been exposed to in the past 30 days? Please check all that apply.","n =  78"
"response","count","percent_responded"
"Digitally on a cell phone, tablet, or computer (through email, text messages, websites, or social media)","33","42.31"
"Have not seen advertising","26","33.33"
"On billboards","16","20.51"
"In magizines or newspapers","15","19.23"
"On storefronts","9","11.54"
"On street side marketing, like sandwich boards","5","6.41"
"At an event, like a concert, fair, rodeo, parade, or similar","4","5.13"
"On television","4","5.13"
"On the radio","3","3.85"
"Other (please specify)","3","3.85"
"In pamphlets or flyers","2","2.56"
"Other (please specify below)","2","2.56"
