"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  85  avg =  22.106"
"response","count","percent_responded"
"0","28","32.94"
"100","4","4.71"
"26","4","4.71"
"50","4","4.71"
"11","3","3.53"
"2","3","3.53"
"38","3","3.53"
"51","3","3.53"
"16","2","2.35"
"19","2","2.35"
"24","2","2.35"
"39","2","2.35"
"6","2","2.35"
"1","1","1.18"
"10","1","1.18"
"13","1","1.18"
"17","1","1.18"
"18","1","1.18"
"20","1","1.18"
"21","1","1.18"
"22","1","1.18"
"23","1","1.18"
"28","1","1.18"
"29","1","1.18"
"3","1","1.18"
"30","1","1.18"
"33","1","1.18"
"34","1","1.18"
"40","1","1.18"
"41","1","1.18"
"49","1","1.18"
"54","1","1.18"
"76","1","1.18"
"8","1","1.18"
"82","1","1.18"
"9","1","1.18"
