"q7","Which of the following symptoms are most commonly associated with your primary health condition or underlying health conditions? (Please select all that apply)","n =  144"
"response","count","percent_responded"
"Depression/mood","130","90.28"
"Sleep/insomnia","120","83.33"
"Anxiety/panic attacks","119","82.64"
"Aggression","79","54.86"
"Attention/concentration","70","48.61"
"Appetite/weight","57","39.58"
"Headache","56","38.89"
"Pain","50","34.72"
"Nausea/vomiting","23","15.97"
"Inflammation","22","15.28"
"Spasms","18","12.5"
"Mania/psychosis","11","7.64"
"Skin conditions","11","7.64"
"Ocular pressure","8","5.56"
"Respiratory","7","4.86"
"Other (please specify)","6","4.17"
"Seizures","3","2.08"
"Drug withdrawal","2","1.39"
