"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  266  avg =  17.056"
"response","count","percent_responded"
"0","117","43.98"
"1","11","4.14"
"100","8","3.01"
"2","8","3.01"
"50","7","2.63"
"10","5","1.88"
"16","5","1.88"
"19","5","1.88"
"51","5","1.88"
"6","5","1.88"
"20","4","1.5"
"21","4","1.5"
"24","4","1.5"
"3","4","1.5"
"38","4","1.5"
"17","3","1.13"
"27","3","1.13"
"29","3","1.13"
"30","3","1.13"
"35","3","1.13"
"4","3","1.13"
"49","3","1.13"
"52","3","1.13"
"7","3","1.13"
"9","3","1.13"
"13","2","0.75"
"14","2","0.75"
"18","2","0.75"
"28","2","0.75"
"33","2","0.75"
"48","2","0.75"
"64","2","0.75"
"70","2","0.75"
"8","2","0.75"
"83","2","0.75"
"12","1","0.38"
"15","1","0.38"
"22","1","0.38"
"23","1","0.38"
"25","1","0.38"
"26","1","0.38"
"32","1","0.38"
"39","1","0.38"
"41","1","0.38"
"45","1","0.38"
"46","1","0.38"
"47","1","0.38"
"5","1","0.38"
"53","1","0.38"
"55","1","0.38"
"71","1","0.38"
"78","1","0.38"
"80","1","0.38"
"85","1","0.38"
"91","1","0.38"
