"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  146"
"response","count","percent_responded"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","45","30.82"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","45","30.82"
"I have reduced my prescription medication use in the past","43","29.45"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","34","23.29"
"Anti-inflammatories","30","20.55"
"Muscle relaxants","29","19.86"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","23","15.75"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","22","15.07"
"I don’t take any medications","19","13.01"
"Sedatives/hypnotics","12","8.22"
"I'm not trying to reduce any medication use","10","6.85"
"Statins (e.g. Lipitor, Crestor)","9","6.16"
"Beta Blockers","8","5.48"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","7","4.79"
"Antihypertensives","6","4.11"
"Antimigraine","6","4.11"
"Antipsychotics (e.g. Abilify, Seroquel)","5","3.42"
"Proton pump inhibitors","5","3.42"
"Steroids, including steroid creams","4","2.74"
"Barbiturates (e.g. Floricet)","2","1.37"
"Other (please specify)","2","1.37"
"Antiemetics","1","0.68"
"Hormone replacement therapy (HRT)","1","0.68"
