"q29","What percentage of disability are you rated, as indicated by the Veteran's Affairs (VA)?","n =  299  avg =  50.42"
"response","count","percent_responded"
"100","93","31.1"
"0","82","27.42"
"10","15","5.02"
"70","13","4.35"
"50","11","3.68"
"20","9","3.01"
"80","9","3.01"
"1","8","2.68"
"90","7","2.34"
"30","6","2.01"
"60","6","2.01"
"99","6","2.01"
"40","5","1.67"
"3","3","1"
"49","3","1"
"6","2","0.67"
"75","2","0.67"
"9","2","0.67"
"98","2","0.67"
"11","1","0.33"
"18","1","0.33"
"2","1","0.33"
"22","1","0.33"
"23","1","0.33"
"28","1","0.33"
"31","1","0.33"
"47","1","0.33"
"48","1","0.33"
"74","1","0.33"
"81","1","0.33"
"92","1","0.33"
"93","1","0.33"
"94","1","0.33"
"97","1","0.33"
