"q13","Where are the locations of your pain (please check all that apply)","n =  46"
"response","count","percent_responded"
"Lower back","33","71.74"
"Knee","29","63.04"
"Neck","21","45.65"
"Shoulder","20","43.48"
"General joint pain","19","41.3"
"Leg","17","36.96"
"Hips","16","34.78"
"Head/headache","14","30.43"
"Foot","13","28.26"
"Upper back","12","26.09"
"Hand","11","23.91"
"Wrist","10","21.74"
"Arm","8","17.39"
"Buttocks","8","17.39"
"Generalized muscle pain","6","13.04"
"Mouth/dental pain","4","8.7"
"Other (please specify)","4","8.7"
"Stomach","4","8.7"
"Abdomen","2","4.35"
"Full body","2","4.35"
"Rectum","1","2.17"
