"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  185  avg =  21.773"
"response","count","percent_responded"
"0","51","27.57"
"21","7","3.78"
"50","6","3.24"
"11","5","2.7"
"19","5","2.7"
"3","5","2.7"
"30","5","2.7"
"39","5","2.7"
"1","4","2.16"
"10","4","2.16"
"13","4","2.16"
"16","4","2.16"
"2","4","2.16"
"51","4","2.16"
"100","3","1.62"
"26","3","1.62"
"27","3","1.62"
"29","3","1.62"
"43","3","1.62"
"6","3","1.62"
"7","3","1.62"
"12","2","1.08"
"17","2","1.08"
"18","2","1.08"
"22","2","1.08"
"23","2","1.08"
"24","2","1.08"
"25","2","1.08"
"28","2","1.08"
"32","2","1.08"
"38","2","1.08"
"49","2","1.08"
"5","2","1.08"
"52","2","1.08"
"76","2","1.08"
"9","2","1.08"
"14","1","0.54"
"15","1","0.54"
"20","1","0.54"
"35","1","0.54"
"4","1","0.54"
"45","1","0.54"
"48","1","0.54"
"53","1","0.54"
"55","1","0.54"
"61","1","0.54"
"63","1","0.54"
"64","1","0.54"
"66","1","0.54"
"71","1","0.54"
"73","1","0.54"
"77","1","0.54"
"8","1","0.54"
"80","1","0.54"
"83","1","0.54"
"91","1","0.54"
"99","1","0.54"
