"q54","What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?","n =  333  avg =  66.087"
"response","count","percent_responded"
"100","153","45.95"
"0","55","16.52"
"50","11","3.3"
"75","8","2.4"
"90","8","2.4"
"10","6","1.8"
"97","6","1.8"
"98","6","1.8"
"99","6","1.8"
"4","5","1.5"
"1","4","1.2"
"25","4","1.2"
"30","4","1.2"
"5","4","1.2"
"96","4","1.2"
"12","3","0.9"
"80","3","0.9"
"85","3","0.9"
"14","2","0.6"
"15","2","0.6"
"18","2","0.6"
"2","2","0.6"
"52","2","0.6"
"82","2","0.6"
"89","2","0.6"
"9","2","0.6"
"95","2","0.6"
"13","1","0.3"
"19","1","0.3"
"23","1","0.3"
"27","1","0.3"
"3","1","0.3"
"32","1","0.3"
"37","1","0.3"
"42","1","0.3"
"43","1","0.3"
"48","1","0.3"
"49","1","0.3"
"6","1","0.3"
"61","1","0.3"
"7","1","0.3"
"70","1","0.3"
"73","1","0.3"
"81","1","0.3"
"84","1","0.3"
"86","1","0.3"
"91","1","0.3"
"93","1","0.3"
"94","1","0.3"
