"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  16"
"response","count","percent_responded"
"Dry mouth","9","56.25"
"Changes in appetite","5","31.25"
"Increased energy","5","31.25"
"More or less talkative","5","31.25"
"Heart racing/palpitations","2","12.5"
"Memory problems","2","12.5"
"Sleepiness/fatigue","2","12.5"
"Changes in libido","1","6.25"
"Depression","1","6.25"
"Difficulty concentrating","1","6.25"
"GI changes (constipation, diarrhea, abdominal discomfort)","1","6.25"
"Headache","1","6.25"
"Racing thoughts","1","6.25"
"Tough to get started in the morning (lassitude) or ""couch lock""","1","6.25"
