"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  266"
"response","count","percent_responded"
"Dry mouth","198","74.44"
"Changes in appetite","101","37.97"
"Increased energy","101","37.97"
"More or less talkative","97","36.47"
"Sleepiness/fatigue","72","27.07"
"Changes in libido","38","14.29"
"Memory problems","31","11.65"
"Feeling of being ""altered""","28","10.53"
"Heart racing/palpitations","25","9.4"
"Paranoia","25","9.4"
"Other (please specify)","23","8.65"
"Difficulty concentrating","21","7.89"
"Tough to get started in the morning (lassitude) or ""couch lock""","20","7.52"
"Racing thoughts","19","7.14"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","18","6.77"
"Apathy","12","4.51"
"Sweating","10","3.76"
"Anxiety","9","3.38"
"Nausea","9","3.38"
"Dizziness","7","2.63"
"Headache","7","2.63"
"Depression","4","1.5"
"GI changes (constipation, diarrhea, abdominal discomfort)","3","1.13"
