"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  133  avg =  13.008"
"response","count","percent_responded"
"0","51","38.35"
"1","10","7.52"
"3","5","3.76"
"2","4","3.01"
"25","4","3.01"
"6","4","3.01"
"10","3","2.26"
"11","3","2.26"
"13","3","2.26"
"16","3","2.26"
"26","3","2.26"
"4","3","2.26"
"50","3","2.26"
"20","2","1.5"
"22","2","1.5"
"23","2","1.5"
"28","2","1.5"
"43","2","1.5"
"7","2","1.5"
"8","2","1.5"
"9","2","1.5"
"100","1","0.75"
"15","1","0.75"
"18","1","0.75"
"19","1","0.75"
"29","1","0.75"
"30","1","0.75"
"32","1","0.75"
"35","1","0.75"
"39","1","0.75"
"48","1","0.75"
"49","1","0.75"
"5","1","0.75"
"51","1","0.75"
"57","1","0.75"
"76","1","0.75"
"80","1","0.75"
"81","1","0.75"
"99","1","0.75"
