"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  174"
"response","count","percent_responded"
"Chronic pain","116","66.67"
"Anxiety","113","64.94"
"Depression","109","62.64"
"Posttraumatic stress disorder (PTSD)","99","56.9"
"Insomnia","64","36.78"
"Arthritis","62","35.63"
"Allergies","36","20.69"
"Gastrointestinal/digestive system disorders","36","20.69"
"Hypertension","31","17.82"
"Other (please specify)","25","14.37"
"Respiratory problems","25","14.37"
"Obesity","24","13.79"
"Reflux esophagitis","24","13.79"
"Cancer","21","12.07"
"Substance abuse/addiction","20","11.49"
"Attention deficit/hyperactivity disorder (ADHD)","19","10.92"
"Inflammatory bowel disease (IBD)","17","9.77"
"Bipolar/manic depression","15","8.62"
"Diabetes","15","8.62"
"Cardiovascular disease","11","6.32"
"Eczema","9","5.17"
"Fibromyalgia/myositis","7","4.02"
"HIV/AIDS","1","0.57"
"Multiple sclerosis","1","0.57"
