"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  16"
"response","count","percent_responded"
"Chronic pain","12","75"
"Depression","10","62.5"
"Anxiety","9","56.25"
"Posttraumatic stress disorder (PTSD)","9","56.25"
"Insomnia","6","37.5"
"Arthritis","5","31.25"
"Hypertension","5","31.25"
"Diabetes","4","25"
"Allergies","3","18.75"
"Attention deficit/hyperactivity disorder (ADHD)","3","18.75"
"Cardiovascular disease","3","18.75"
"Obesity","3","18.75"
"Other (please specify)","3","18.75"
"Respiratory problems","3","18.75"
"Substance abuse/addiction","3","18.75"
"Bipolar/manic depression","2","12.5"
"Eczema","1","6.25"
"Inflammatory bowel disease (IBD)","1","6.25"
"Reflux esophagitis","1","6.25"
