"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  32"
"response","count","percent_responded"
"Dry mouth","19","59.38"
"More or less talkative","12","37.5"
"Changes in appetite","8","25"
"Increased energy","7","21.88"
"Changes in libido","5","15.62"
"Other (please specify)","4","12.5"
"Sleepiness/fatigue","4","12.5"
"Difficulty concentrating","3","9.38"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","3","9.38"
"Dizziness","2","6.25"
"Paranoia","2","6.25"
"Anxiety","1","3.12"
"Heart racing/palpitations","1","3.12"
"Memory problems","1","3.12"
"Racing thoughts","1","3.12"
