"q54","What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?","n =  284  avg =  60.852"
"response","count","percent_responded"
"100","120","42.25"
"0","54","19.01"
"50","14","4.93"
"10","8","2.82"
"99","8","2.82"
"75","7","2.46"
"4","5","1.76"
"90","5","1.76"
"1","4","1.41"
"5","4","1.41"
"15","3","1.06"
"25","3","1.06"
"30","3","1.06"
"97","3","1.06"
"12","2","0.7"
"13","2","0.7"
"14","2","0.7"
"2","2","0.7"
"51","2","0.7"
"7","2","0.7"
"80","2","0.7"
"85","2","0.7"
"95","2","0.7"
"98","2","0.7"
"17","1","0.35"
"18","1","0.35"
"20","1","0.35"
"26","1","0.35"
"32","1","0.35"
"33","1","0.35"
"36","1","0.35"
"43","1","0.35"
"48","1","0.35"
"52","1","0.35"
"56","1","0.35"
"65","1","0.35"
"67","1","0.35"
"70","1","0.35"
"73","1","0.35"
"8","1","0.35"
"81","1","0.35"
"82","1","0.35"
"86","1","0.35"
"87","1","0.35"
"89","1","0.35"
"91","1","0.35"
"96","1","0.35"
