"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  284"
"response","count","percent_responded"
"Dry mouth","206","72.54"
"Changes in appetite","120","42.25"
"More or less talkative","115","40.49"
"Increased energy","106","37.32"
"Sleepiness/fatigue","79","27.82"
"Changes in libido","44","15.49"
"Memory problems","41","14.44"
"Feeling of being ""altered""","39","13.73"
"Difficulty concentrating","28","9.86"
"Racing thoughts","25","8.8"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","24","8.45"
"Tough to get started in the morning (lassitude) or ""couch lock""","23","8.1"
"Heart racing/palpitations","22","7.75"
"Paranoia","22","7.75"
"Other (please specify)","17","5.99"
"Apathy","13","4.58"
"Sweating","12","4.23"
"Dizziness","11","3.87"
"Anxiety","10","3.52"
"Nausea","10","3.52"
"GI changes (constipation, diarrhea, abdominal discomfort)","7","2.46"
"Depression","5","1.76"
"Headache","5","1.76"
