"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  79"
"response","count","percent_responded"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","59","74.68"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","38","48.1"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","36","45.57"
"Anti-inflammatories","28","35.44"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","24","30.38"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","21","26.58"
"Statins (e.g. Lipitor, Crestor)","20","25.32"
"Muscle relaxants","18","22.78"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","15","18.99"
"Antimigraine","10","12.66"
"Other (please specify)","10","12.66"
"Antipsychotics (e.g. Abilify, Seroquel)","9","11.39"
"Antihypertensives","8","10.13"
"Sedatives/hypnotics","8","10.13"
"Beta Blockers","7","8.86"
"Steroids, including steroid creams","7","8.86"
"I don’t take any prescription medications","5","6.33"
"Hormone replacement therapy (HRT)","4","5.06"
"Insulin","3","3.8"
"Proton pump inhibitors","3","3.8"
"Barbiturates (e.g. Floricet)","2","2.53"
