"q13","Where are the locations of your pain (please check all that apply)","n =  8"
"response","count","percent_responded"
"Lower back","7","87.5"
"Hips","6","75"
"General joint pain","5","62.5"
"Neck","5","62.5"
"Knee","4","50"
"Upper back","4","50"
"Buttocks","3","37.5"
"Foot","3","37.5"
"Leg","3","37.5"
"Shoulder","3","37.5"
"Generalized muscle pain","2","25"
"Hand","2","25"
"Mouth/dental pain","2","25"
"Wrist","2","25"
"Arm","1","12.5"
"Chest","1","12.5"
"Full body","1","12.5"
"Head/headache","1","12.5"
