"q14","What are the effects of your pain? (Please select all that apply)","n =  52"
"response","count","percent_responded"
"Enjoyment of life","47","90.38"
"Physical activity","46","88.46"
"Mobility","45","86.54"
"Energy level","42","80.77"
"Sleep","39","75"
"Mood","37","71.15"
"Household chores","35","67.31"
"Concentration","32","61.54"
"Relationships with others","30","57.69"
"Sexual functioning","30","57.69"
"Depression","29","55.77"
"Anxiety","26","50"
"Self esteem","21","40.38"
"Memory","18","34.62"
"Appetite","17","32.69"
"Personal care","17","32.69"
