"q91","What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please indicate the highest degree you have received.)","n =  148"
"response","count","percent_responded"
"Some college, no degree","38","25.68"
"Bachelor's degree","32","21.62"
"Associate's degree","25","16.89"
"Master's degree","22","14.86"
"High school degree or equivalent (GED)","21","14.19"
"Vocational degree","4","2.7"
"Professional degree (MD, JD, DDS, DVM)","3","2.03"
"Doctorate (Ph.D, Ed.D, etc)","2","1.35"
"Less than high school diploma","1","0.68"
