"q46","What information would you like to know related to cannabis to help you make a decision about what cannabis products to use? Please select all that apply.","n =  442"
"response","count","percent_responded"
"Different effects of different cannabinoids","328","74.21"
"Medical value of cannabis","286","64.71"
"Cultivation and extraction","215","48.64"
"Cannabis and pharmaceutical drug interactions","181","40.95"
"Cannabis genetics","162","36.65"
"Side effects of cannabis","122","27.6"
"Other (please specify)","28","6.33"
"Other (please list below)","20","4.52"
