"q13","Where are the locations of your pain (please check all that apply)","n =  129"
"response","count","percent_responded"
"Lower back","103","79.84"
"Knee","73","56.59"
"General joint pain","72","55.81"
"Hips","67","51.94"
"Neck","61","47.29"
"Leg","57","44.19"
"Shoulder","57","44.19"
"Upper back","56","43.41"
"Foot","51","39.53"
"Hand","49","37.98"
"Generalized muscle pain","41","31.78"
"Wrist","38","29.46"
"Head/headache","37","28.68"
"Arm","35","27.13"
"Buttocks","26","20.16"
"Full body","26","20.16"
"Abdomen","25","19.38"
"Mouth/dental pain","18","13.95"
"Stomach","17","13.18"
"Chest","14","10.85"
"Other (please specify)","11","8.53"
"Face","5","3.88"
"Genitalia","5","3.88"
"Rectum","4","3.1"
