"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  320"
"response","count","percent_responded"
"Sleep/insomnia","320","100"
"Depression/mood","201","62.81"
"Anxiety/panic attacks","184","57.5"
"Pain","175","54.69"
"Aggression","108","33.75"
"Headache","97","30.31"
"Attention/concentration","82","25.62"
"Inflammation","80","25"
"Appetite/weight","74","23.12"
"Spasms","59","18.44"
"Nausea/vomiting","51","15.94"
"Ocular pressure","17","5.31"
"Mania/psychosis","14","4.38"
"Skin conditions","12","3.75"
"Other (please specify)","10","3.12"
"Respiratory","7","2.19"
"Drug withdrawal","6","1.88"
"Seizures","6","1.88"
