"q7","How does cannabis help your daily life? (Please select all that apply)","n =  723"
"response","count","percent_responded"
"Helps with psychological symptoms (e.g. anxiety, stress, calm, sadness, energy)","594","82.16"
"Generally helps with quality of life","592","81.88"
"Helps with physical symptoms (e.g. body pains, function, sensation)","501","69.29"
"Helps to reduce use of alcohol","261","36.1"
"Helps to avoid starting other medicines (including opiates)","260","35.96"
"Helps to reduce use of other prior medicines (non-opiates)","242","33.47"
"Helps to reduce use of opiates","121","16.74"
"Helps to reduce us of tobacco","115","15.91"
"Other (please specify)","34","4.7"
"Does not help my daily life","8","1.11"
