"q7","How does cannabis help your daily life? (Please select all that apply)","n =  142"
"response","count","percent_responded"
"Generally helps with quality of life","122","85.92"
"Helps with psychological symptoms (e.g. anxiety, stress, calm, sadness, energy)","104","73.24"
"Helps with physical symptoms (e.g. body pains, function, sensation)","96","67.61"
"Helps to reduce use of other prior medicines (non-opiates)","41","28.87"
"Helps to avoid starting other medicines (including opiates)","34","23.94"
"Helps to reduce use of alcohol","34","23.94"
"Helps to reduce use of opiates","22","15.49"
"Helps to reduce us of tobacco","18","12.68"
"Other (please specify)","4","2.82"
