"q67","Which VA do you go to?","n =  130"
"response","count","percent_responded"
"None","4","3.08"
"Bedford ","3","2.31"
"Bedford","2","1.54"
"Brockton","2","1.54"
"Fitchburg ","2","1.54"
"Northampton ","2","1.54"
"Providence ","2","1.54"
"Worcester","2","1.54"
"A","1","0.77"
"Albany, NY","1","0.77"
"Asheville, NC","1","0.77"
"Atlanta","1","0.77"
"Augusta","1","0.77"
"Baton Rouge","1","0.77"
"Bay Pines","1","0.77"
"bedford","1","0.77"
"Bedford va medical ","1","0.77"
"Bedford, MA","1","0.77"
"Boston","1","0.77"
"Boston JP","1","0.77"
"Brockton MA","1","0.77"
"Central Western MA","1","0.77"
"Charleston VA weapons station ","1","0.77"
"Cincinnati VA","1","0.77"
"Clarksville ,Tn","1","0.77"
"Cleveland","1","0.77"
"Conroe TX","1","0.77"
"Davenport, IA ","1","0.77"
"Dayton VAMC","1","0.77"
"DC VAMC","1","0.77"
"Dorn VA in Columbia, SC","1","0.77"
"Fayetteville,Ar","1","0.77"
"Fitchburg","1","0.77"
"Florence,MA","1","0.77"
"Fredericksburg ","1","0.77"
"Ft Worth,  tx","1","0.77"
"Harry S Truman VAMC Columbia, MO","1","0.77"
"Havent been in 5 years due to them not doing their jobs. refuse to go back","1","0.77"
"Heavy","1","0.77"
"Hershell Woody. Huntington, va","1","0.77"
"Huntington WV ","1","0.77"
"Huntsville AL","1","0.77"
"Hyannis","1","0.77"
"Hyannis CBOC","1","0.77"
"I avoid the VA. ","1","0.77"
"I do not use the va","1","0.77"
"I don't","1","0.77"
"I don’t ","1","0.77"
"I don’t go to the va anymore","1","0.77"
"I dont","1","0.77"
"Indianapolis ","1","0.77"
"Jamaica Plain","1","0.77"
"Jamaica Plain ","1","0.77"
"Jamaica plains","1","0.77"
"James A Haley ","1","0.77"
"Jefferson barracks ","1","0.77"
"Jefferson Barracks, MO","1","0.77"
"La Jolla VAMC","1","0.77"
"Leavenworth KS","1","0.77"
"Leed's Northampton MA","1","0.77"
"Leeds ","1","0.77"
"LEEDS MA","1","0.77"
"Leeds, Springfield OPC","1","0.77"
"Long Beach ","1","0.77"
"Manchester NH","1","0.77"
"Manchester, NH","1","0.77"
"Martinsburg, West Virginia","1","0.77"
"Mountain Home","1","0.77"
"Mountain Home TN","1","0.77"
"n/a","1","0.77"
"N/a","1","0.77"
"N/A","1","0.77"
"Na","1","0.77"
"Naples Fl","1","0.77"
"Nashville and Mather ","1","0.77"
"New Bedford and Providence ","1","0.77"
"Newington, CT","1","0.77"
"No","1","0.77"
"none","1","0.77"
"None, never explored option","1","0.77"
"Northampton","1","0.77"
"Northampton/Leeds, MA","1","0.77"
"Oahu","1","0.77"
"OKC ","1","0.77"
"Panama City Beach ","1","0.77"
"Phoenix, AZ","1","0.77"
"Pittsburgh","1","0.77"
"prefer not to answer","1","0.77"
"Prefer not to answer","1","0.77"
"Providence","1","0.77"
"Providence RI","1","0.77"
"Providence RI ","1","0.77"
"Pueblo Colorado","1","0.77"
"Raymond g murphey","1","0.77"
"Raymond G Murphy","1","0.77"
"Redding California","1","0.77"
"Richmond ","1","0.77"
"Richmond VA","1","0.77"
"Saginaw Michigan","1","0.77"
"San Diego","1","0.77"
"san diego ","1","0.77"
"Savannah ","1","0.77"
"Seattle ","1","0.77"
"Syracuse ","1","0.77"
"Togus","1","0.77"
"Tulare,CA","1","0.77"
"VA Bond st Springfield, MA","1","0.77"
"VA Jamaica Plain","1","0.77"
"VA Medical Center Boston Jamaica Plain","1","0.77"
"VA Outpatient Clinic, 25 Bond St, Springfield, MA 01104","1","0.77"
"Watertown ","1","0.77"
"West Roxbury","1","0.77"
"West Roxbury Boston ma","1","0.77"
"West Roxbury, ma","1","0.77"
"West Virginia ","1","0.77"
"White City, OR (SORCC)","1","0.77"
"Wilmington va","1","0.77"
"Worcester CBOC","1","0.77"
"Worcester MA","1","0.77"
