"q29","What percentage of disability are you rated, as indicated by the Veteran's Affairs (VA)?","n =  320  avg =  59.04"
"response","count","percent_responded"
"100","105","32.81"
"0","59","18.44"
"70","25","7.81"
"90","18","5.62"
"60","17","5.31"
"50","14","4.38"
"20","12","3.75"
"80","12","3.75"
"30","8","2.5"
"40","8","2.5"
"1","6","1.88"
"10","6","1.88"
"99","3","0.94"
"3","2","0.62"
"49","2","0.62"
"51","2","0.62"
"6","2","0.62"
"75","2","0.62"
"81","2","0.62"
"9","2","0.62"
"11","1","0.31"
"14","1","0.31"
"18","1","0.31"
"22","1","0.31"
"23","1","0.31"
"31","1","0.31"
"43","1","0.31"
"53","1","0.31"
"67","1","0.31"
"74","1","0.31"
"87","1","0.31"
"92","1","0.31"
"97","1","0.31"
