"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  293"
"response","count","percent_responded"
"Depression","256","87.37"
"Anxiety","238","81.23"
"Chronic pain","213","72.7"
"Posttraumatic stress disorder (PTSD)","202","68.94"
"Insomnia","136","46.42"
"Arthritis","116","39.59"
"Allergies","64","21.84"
"Hypertension","63","21.5"
"Gastrointestinal/digestive system disorders","61","20.82"
"Reflux esophagitis","52","17.75"
"Substance abuse/addiction","47","16.04"
"Obesity","46","15.7"
"Other (please specify)","44","15.02"
"Attention deficit/hyperactivity disorder (ADHD)","42","14.33"
"Respiratory problems","40","13.65"
"Diabetes","30","10.24"
"Bipolar/manic depression","29","9.9"
"Inflammatory bowel disease (IBD)","24","8.19"
"Cancer","21","7.17"
"Fibromyalgia/myositis","21","7.17"
"Eczema","20","6.83"
"Cardiovascular disease","18","6.14"
"Epilepsy","5","1.71"
"HIV/AIDS","5","1.71"
"Multiple sclerosis","5","1.71"
"Alzheimer's","1","0.34"
"Autism","1","0.34"
