"q48","What are your general thoughts regarding the legalization of cannabis?","n =  101"
"response","count","percent_responded"
"50/50 I want it to happen but I don’t want the standardization to limit quality. ","1","0.99"
"About time!  Of course, I am in Canada :)","1","0.99"
"All for it","1","0.99"
"ALL FOR IT","1","0.99"
"As a Veteran with PTSD in a state where it isn't legal, I have to watch friends die due to opioid addictions rather than allow them to smoke a plant. Where is the logic in that? I don't smoke to get ""high"", I smoke to get ""normal"".  I am off of over 15 drugs with cannabis and I can be a father. Where on the ""legal"" drugs I was a zombie","1","0.99"
"Bring it on! ","1","0.99"
"Cannabis should be legal in the USA and in the world.","1","0.99"
"Cannabis should never have been illegal. It should be completely legal right now.","1","0.99"
"Couldn't be happier. I don't understand why it has taken as long as it has. We still have a long road ahead of us but it's better late than never!","1","0.99"
"Definitely tax the rich","1","0.99"
"Everyone should have the right to treat their conditions ","1","0.99"
"Extremely supportive of the safer option to pain management.","1","0.99"
"For me I'm a cannabis PT so I'm taking less medications and my lab work shows that my Kidney & Liver functions are in normal ranges after several years of going to Nephrologist and trying and changing meds to get my functions back under control. Give me cannabis take away the pills and the Nephrologist..my results are normal, I'm feeling healthier. Imagine that.. I feel also crime may be down, dealers maybe off the street less synthetic drugs , less deaths less ER visits less buses being used for senseless deaths or near deaths. I work in and Emergency Deptment we see what these other drugs do. Use to help get us out of the deficit,more and more people are smoking than drinking.  People smoke to much they get sleepy not fight, get mouthy create a seen.  Sell & tax it use the monies for the deficit, help the homeless, the sick, use for research Impeach Trump. ","1","0.99"
"Generally, it’s a good thing as it will de-stigmatize it and make researching it easier for the researchers.","1","0.99"
"Good for the culture","1","0.99"
"Good mushrooms should be next","1","0.99"
"Hope that the entire USA is legitimized.  Difficult to travel as some states will arrest you if you are traveling thru....annoying and medically not appropriate for those of us who need our medical marijuana","1","0.99"
"I've really suffered after moving from a place where I could legally access cannabis with a medical card to a place where it is criminalized and inaccessible. Additionally I no longer qualify for medicaid in this new state. Needless to say, my access to medical care and treatment has gone down considerably. Not only am I unable to get mental health care, I'm unable to properly self-medicate without legal dispensaries and strain specificity.    Criminalization of is a structural determinant of health. Given all the intersecting issues (mass incarceration, parental stress/child maltreatment, opioid epidemic) related to cannabis legalization, I think it's absurd that research is being limited on something with such incredible capacity to reduce health disparities. Legalizing cannabis would help individuals, families, communities, businesses, and health care systems. It's time for cannabis to be formally integrated into comprehensive, whole person health care.","1","0.99"
"I am not in favor of recreational use of cannabis. I do believe in the medicinal use as patients under care of special Dr. Or clinic","1","0.99"
"I am pleased that its legal at the state level but It needs to be legal federally, just like alcohol and tobacco.  I am concerned about losing my job if tested randomly despite not being under the influence while at work. ","1","0.99"
"I am so grateful to have this available, I deal with a lot of anxiety and I do not like taking Clonozapam, or any other Chemical to help me with panic and anxiety attacks, with Cannabis I choose, how much to use, how the effects of being relaxed from a gumdrop, cookies, or flower at night, I dont have to settle myself down with half, or a full dose of a Chemical that is very, very sedating, no matter how much I take. ","1","0.99"
"I fully support full legalization. In Massachusetts, however, I have been disappointed with the stigma still attached despite being legal. This shows up in the form of barring cannabis users from using anywhere outside a private home and from growing “within view of others.” Legalization is great, the implementation isn’t always","1","0.99"
"I strongly support legalization","1","0.99"
"I support both the legalization and the proper, fair taxation of it.","1","0.99"
"I think it's a great movement ","1","0.99"
"I think it's important that it's done in a respectful and thoughtful way instead of becoming the next big capitalist machine, given the history of the plant I think that would be pretty upsetting.  And  I hope that legalizing cannabis will lead to people who were arrested because of the war on drugs being released from prison??","1","0.99"
"I think it is a Godsend to those who suffer and find out that it actually helps. It is a good thing. Hope the stigma from the past melts away. It's just another drug like any other in my opinion. I'm most for medical use. But recreational use is ok I guess. Make it legal. Have laws/legal age/id, etc. and enforce it like any other legal drug.","1","0.99"
"i think it is great.. alcohol is far more damaging and socially accepted.. crazy","1","0.99"
"I think it should be recreationally legal and available to those over the age of 18. And medically available with doctor advisement to those under 18. I firmly believe in cannabis’ medicinal benefits. ","1","0.99"
"I think it’s great","1","0.99"
"I think it’s great ","1","0.99"
"I worry that rec use could increase use by children and others who will not use it responsibly. ","1","0.99"
"I’m all for it ","1","0.99"
"I’m for it as long as it is done in the proper places. ","1","0.99"
"I’m in favor","1","0.99"
"I’m very pleased it has passed","1","0.99"
"it's about time","1","0.99"
"It's about time!","1","0.99"
"It's great, about time and very effective. ","1","0.99"
"It's not legalization, it's only taxation","1","0.99"
"It comes from the earth... ","1","0.99"
"It has helped my life tremendously ","1","0.99"
"It is long overdue","1","0.99"
"It is long overdue and alarmingly slow in it's realization, with misinformation and minimal transparency that feels very wrong considering the vast majority of the people in this state are fully in favor of recreational use","1","0.99"
"it needs to be done ASAP","1","0.99"
"it needs to be legalized and legitimized as a real therapeutic product","1","0.99"
"It needs to be regulated and a tax benefit for society but i am in favour","1","0.99"
"It needs to happen.","1","0.99"
"it should be ","1","0.99"
"It should be legal everywhere, it's the safest drug, period. ","1","0.99"
"It should be legal in all states n countries ","1","0.99"
"It should be legalized all states","1","0.99"
"It should be legalized federally","1","0.99"
"It should have been done in 1937.","1","0.99"
"It should of been done years ago","1","0.99"
"It’s About Time!!","1","0.99"
"It’s about time. The stigma screwed up my life. I’m glad that I am not alone.","1","0.99"
"It’s the same as alcohol. I don’t like to drink so MJ is a great medicine for me. It makes me sad that people think you’re a drug addict if you use MJ. The gov’t needs to legalize it! ","1","0.99"
"Its been a real shit show. It doesn't feel legal so much as regulated to death. Too many regulations regarding how lawmakers are going to make money off of all of this. Not enough regulations protecting consumers.","1","0.99"
"Its good","1","0.99"
"jailing pot smokers is a waste of my tax payer dollars.","1","0.99"
"legal like alcohol in the country","1","0.99"
"Legalization is long overdue ","1","0.99"
"Legalize it","1","0.99"
"Legalize it nationwide!","1","0.99"
"let's stop being ridiculous","1","0.99"
"Ljssjs","1","0.99"
"Long overdue. Implementing well","1","0.99"
"Love it its about time ","1","0.99"
"Make it Federally legal so I can Vape in/near my home","1","0.99"
"make it legal through the US","1","0.99"
"Many people are afraid of the stigma behind the card. The more people that have safe access, the better. ","1","0.99"
